title,myrating,avgrating,binding,pages,pubyear,shelf
"Black Moon (Zodiac, #3)",4.00,4.26,Hardcover,320.00,2016,read
"Wandering Star (Zodiac, #2)",4.00,4.16,Hardcover,320.00,2015,read
"The Shepherd's Crown (Discworld, #41; Tiffany Aching, #5)",3.00,4.36,Paperback,276.00,2015,read
"City of Heavenly Fire (The Mortal Instruments, #6)",5.00,4.43,Paperback,725.00,2014,read
"City of Lost Souls (The Mortal Instruments, #5)",5.00,4.26,Paperback,546.00,2012,read
"City of Fallen Angels (The Mortal Instruments, #4)",4.00,4.12,Paperback,425.00,2011,read
"City of Glass (The Mortal Instruments, #3)",5.00,4.31,Paperback,541.00,2009,read
"City of Ashes (The Mortal Instruments, #2)",5.00,4.16,Paperback,453.00,2008,read
"Junie B. Jones Is a Graduation Girl (Junie B. Jones, #17)",3.00,4.05,Paperback,72.00,2001,read
"City of Bones (The Mortal Instruments, #1)",5.00,4.10,Paperback,485.00,2007,read
Women in Science: 50 Fearless Pioneers Who Changed the World,5.00,4.48,Hardcover,128.00,2016,read
"Speaker for the Dead (Ender's Saga, #2)",5.00,4.07,Paperback,382.00,1986,read
"The Shadow Throne (The Ascendance Series, #3)",4.00,4.25,Paperback,336.00,2014,read
The Importance of Being Earnest,4.00,4.18,Paperback,76.00,1895,read
A Tale of Two Cities,3.00,3.85,Paperback,489.00,1859,read
"The Runaway King (The Ascendance Series, #2)",3.00,4.23,Paperback,331.00,2013,read
"Camp Half-Blood Confidential (The Trials of Apollo, #2.5)",4.00,4.19,Hardcover,181.00,2017,read
"The Ship of the Dead (Magnus Chase and the Gods of Asgard, #3)",5.00,4.39,Hardcover,410.00,2017,read
"The Hammer of Thor (Magnus Chase and the Gods of Asgard, #2)",5.00,4.35,Hardcover,459.00,2016,read
"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",5.00,4.23,Hardcover,499.00,2015,read
Frankenstein: The 1818 Text,4.00,3.81,Paperback,288.00,1818,read
King Lear,3.00,3.91,Paperback,338.00,1605,read
"Independent Study (The Testing, #2)",4.00,3.97,Paperback,310.00,2014,read
"The Testing (The Testing, #1)",4.00,4.04,Paperback,325.00,2013,read
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",5.00,4.43,Paperback,341.00,1998,read
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",5.00,4.47,Paperback,309.00,1997,read
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",5.00,4.62,Paperback,759.00,2007,read
